1950-09-28;;6;ab211009-18d0-4273-b24d-849169674ab7;MALE;HIGHER_VOCATIONAL;;https://upload.wikimedia.org/wikipedia/commons/2/29/Josef_To%C5%A1ovsk%C3%BD%2C_Czech_Prime_Minister.jpeg;GuvernÈr »NB a p¯edseda ˙¯ednickÈ vl·dy.;;Ekonomie;Josef;doc. ing. josef tosovsky ;Toöovsk˝;;N·chod;;;doc. Ing.;;LEVEL_1_PUBLIC
1978-08-18;;21;8e6bb37e-6814-4c9e-b8a8-6eff89ceaffe;MALE;MASTER;;https://upload.wikimedia.org/wikipedia/commons/2/24/Petr_Macinka_2025_%28cropped%29.jpg;MÌstop¯edseda vl·dy, ministr zahraniËnÌch vÏcÌ a ministr ûivotnÌho prost¯edÌ.;macinka@vlada.cz;Politologie;Petr;mgr. petr macinka ;Macinka;;;MotoristÈ sobÏ (AUTO);;Mgr.;;LEVEL_1_PUBLIC
1953-02-15;2016-01-22;506;84d6d584-2400-44ab-8710-6571b2ac544c;MALE;DOCTORATE;"";"";"";;"";Miloslav;phdr. miloslav ransdorf csc.;Ransdorf;"";"";"";CSc.;PhDr.;;LEVEL_1_PUBLIC
1951-01-13;;507;d2c5c1bc-47a9-4621-8701-ecade9f51f73;FEMALE;DOCTORATE;"";"";"";;"";Zuzka;judr. zuzka bebarova rujbrova ;Bebarov· Rujbrov·;"";"";"";"";JUDr.;;LEVEL_1_PUBLIC
1948-01-04;;508;02b15fb6-8640-4f4c-81d8-1e415e717deb;FEMALE;DOCTORATE;"";"";"";;"";Alena;doc.phdr. alena svobodova csc.;Svobodov·;"";"";"";CSc.;Doc.PhDr.;;LEVEL_1_PUBLIC
1965-02-17;;509;2a5b71ad-4954-440f-8211-79d90f7bf039;MALE;MASTER;"";"";"";;"";Petr; petr simunek ;äim˘nek;"";"";"";"";"";;LEVEL_1_PUBLIC
1940-11-05;;510;62013992-2c38-4ad0-9224-a9a448ab4337;FEMALE;MASTER;"";"";"";;"";Hana;rsdr. hana skorpilova ;äkorpilov·;"";"";"";"";RSDr.;;LEVEL_1_PUBLIC
1935-08-29;2022-12-31;511;7cbecd0e-8d6b-426f-bf9f-dbe1084cbb28;MALE;MASTER;"";"";"";;"";Miroslav;ing.genpor miroslav vacek ;Vacek;"";"";"";"";Ing.genpor;;LEVEL_1_PUBLIC
1944-11-18;2024-10-24;512;a8a737e4-de21-4f7d-9a32-092342e98e7b;MALE;MASTER;"";"";"";;"";Karel;ing. karel vymetal ;VymÏtal;"";"";"";"";Ing.;;LEVEL_1_PUBLIC
1944-03-06;;513;51ad1a0a-eb03-4fe6-b105-fcdc3064a71d;FEMALE;MASTER;"";"";"";;"";Vlasta; vlasta hruzova ;Hr˘zov·;"";"";"";"";"";;LEVEL_1_PUBLIC
1952-05-04;;514;bd4364fe-8919-4764-99f8-34323d469a48;MALE;MASTER;"";"";"";;"";ZdenÏk; zdenek krampera ;Krampera;"";"";"";"";"";;LEVEL_1_PUBLIC
1946-08-30;;515;ed7fbdd3-a2bc-4c1d-8390-d36ce58018a4;MALE;MASTER;"";"";"";;"";Josef; josef krejsa ;Krejsa;"";"";"";"";"";;LEVEL_1_PUBLIC
1962-11-23;;516;a092b6b5-a097-4de9-a3aa-29450d5268c2;MALE;MASTER;"";"";"";;"";Pavel; pavel maixner ;Maixner;"";"";"";"";"";;LEVEL_1_PUBLIC
1949-07-11;;517;16a2349f-ce07-4d51-966d-8290aad7b834;MALE;MASTER;"";"";"";;"";Jind¯ich; jindrich nehera ;Nehera;"";"";"";"";"";;LEVEL_1_PUBLIC
